name,release_date,english,developer,publisher,required_age,steamspy_tags,achievements,positive_ratings,negative_ratings,average_playtime,median_playtime,owners,price,platform_windows,platform_mac,platform_linux,categorie_Multi.player,categorie_Online.Multi.Player,categorie_Local.Multi.Player,categorie_Valve.Anti.Cheat.enabled,categorie_Single.player,categorie_Steam.Cloud,categorie_Steam.Achievements,categorie_Steam.Trading.Cards,categorie_Captions.available,categorie_Partial.Controller.Support,categorie_Includes.Source.SDK,categorie_Cross.Platform.Multiplayer,categorie_Stats,categorie_Commentary.available,categorie_Includes.level.editor,categorie_Steam.Workshop,categorie_In.App.Purchases,categorie_Co.op,categorie_Full.controller.support,categorie_Steam.Leaderboards,categorie_SteamVR.Collectibles,categorie_Online.Co.op,categorie_Shared.Split.Screen,categorie_Local.Co.op,categorie_MMO,categorie_VR.Support,categorie_Mods,categorie_Mods..require.HL2.,categorie_Steam.Turn.Notifications,genre_Action,genre_Free.to.Play,genre_Strategy,genre_Adventure,genre_Indie,genre_RPG,genre_Animation...Modeling,genre_Video.Production,genre_Casual,genre_Simulation,genre_Racing,genre_Violent,genre_Massively.Multiplayer,genre_Nudity,genre_Sports,genre_Early.Access,genre_Gore,genre_Utilities,genre_Design...Illustration,genre_Web.Publishing,genre_Education,genre_Software.Training,genre_Sexual.Content,genre_Audio.Production,genre_Game.Development,genre_Photo.Editing,genre_Accounting,genre_Documentary,genre_Tutorial,SteamSpyOwners,PriceInitial,Title,Meta.Score,User.Score
0RBITALIS,28/05/2015,1,Alan Zucconi,Mastertronic,0,Simulation;Indie;Puzzle,38,191,72,26,26,20000-50000,6.99,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,31924,9.99,0RBITALIS,73,7.3
10 Second Ninja,05/03/2014,1,Four Circle Interactive,Mastertronic,0,Indie;Action;Platformer,30,588,97,150,150,50000-100000,1.59,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,61876,9.99,10 Second Ninja,72,8
1954 Alcatraz,11/03/2014,1,Daedalic Entertainment;Irresponsible Games,Daedalic Entertainment,0,Adventure;Point & Click;Indie,25,695,259,232,427,100000-200000,6.99,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,127518,159.99,1954: Alcatraz,58,6.3
1979 Revolution: Black Friday,04/04/2016,1,iNK Stories;N-Fusion Interactive,iNK Stories,0,Choices Matter;Adventure;Indie,39,632,195,0,0,50000-100000,4.79,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,16141,11.99,1979 Revolution: Black Friday,80,7.7
4PM,09/07/2014,1,Bojan Brbora,4PM GAME,0,Indie;Walking Simulator;Female Protagonist,0,74,155,0,0,0-20000,1.99,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,13631,2.99,4PM,41,4.2
80 Days,28/09/2015,1,inkle Ltd;Cape Guy Ltd,inkle Ltd,0,Adventure;Story Rich;Choices Matter,35,1092,108,113,113,100000-200000,10.29,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,79990,9.99,80 Days ,84,6.9
80 Days,28/09/2015,1,inkle Ltd;Cape Guy Ltd,inkle Ltd,0,Adventure;Story Rich;Choices Matter,35,1092,108,113,113,100000-200000,10.29,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,79990,9.99,80 Days ,58,8.1
8-Bit Armies,22/04/2016,1,Petroglyph,Petroglyph,0,Strategy;RTS;Pixel Graphics,29,1370,335,0,0,100000-200000,10.99,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,63669,14.99,8-Bit Armies,69,7.3
911 Operator,24/02/2017,1,Jutsu Games,Games Operators;PlayWay S.A.,0,Strategy;Simulation;Management,18,3529,697,257,280,200000-500000,10.99,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,3228,0,911 Operator,68,7.4
Aarklash: Legacy,12/09/2013,1,Cyanide Studio,Bigben Interactive,0,RPG;Strategy;Tactical,29,478,145,144,286,50000-100000,12.39,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,46990,19.99,Aarklash: Legacy,72,7.8
